Nominal Code	Invoice	Create Date	Invoice Date	Supplier	Supplier	Number Plate	National Vehicle Type	Int Cat	Total nett	PO Number	Comments	Delivery Date
MAINTENANCE	1103372	12/02/2026	05/01/2026	66610	VOLVO GROUP BELGIUM NV	1GYZ428	BLORRY	L27	1713,75		Foutieve factuur	08/10/2025
MAINTENANCE	1104334	12/02/2026	06/02/2026	66610	VOLVO GROUP BELGIUM NV	1GYZ428	BLORRY	L27	-1713,75		Creditnota voor factuur 1103372	08/10/2025
ROAD ASSISTANCE	26020001182	12/02/2026	03/02/2026	26429	VAB NV	QAJY606	TRAILER	T44	43,11		Lekke Band	08/11/2019
ROAD ASSISTANCE	26020001182	12/02/2026	03/02/2026	26429	VAB NV	2DJB594	TRACTOR	S01	43,11		Self-Inflicted	03/11/2010
ROAD ASSISTANCE	26020001182	12/02/2026	03/02/2026	26429	VAB NV	QGC270	TRAILER	T44	388,7		Laadklep (merk?) (olielek?)	13/03/2007
ROAD ASSISTANCE	26020001182	12/02/2026	03/02/2026	26429	VAB NV	1GYP156	SLORRY	L20	43,11		Batterij 12V	13/06/2014
ROAD ASSISTANCE	26020001182	12/02/2026	03/02/2026	26429	VAB NV	1GYP155	SLORRY	L20	203,02		Start Problemen	03/06/2014
ROAD ASSISTANCE	26020001182	12/02/2026	03/02/2026	26429	VAB NV	1QBN759	TRAILER	T44	43,11		Lekke Band Niet Herstelbaar	28/12/2011
ROAD ASSISTANCE	26020001182	12/02/2026	03/02/2026	26429	VAB NV	QAKC634	TRAILER	T44	43,11		Ophanging	19/12/2019
ROAD ASSISTANCE	26020001182	12/02/2026	03/02/2026	26429	VAB NV	1YRP321	TRACTOR	S01	600,4		Paragon Zonder Betalen	27/11/2020
ROAD ASSISTANCE	26020001182	12/02/2026	03/02/2026	26429	VAB NV	1UPT200	TRACTOR	S01	43,11		Lekke Band Achteraan	06/07/2018
ROAD ASSISTANCE	26020001182	12/02/2026	03/02/2026	26429	VAB NV	2DJB594	TRACTOR	S01	982,97		Self-Inflicted	03/11/2010
ROAD ASSISTANCE	26020001182	12/02/2026	03/02/2026	26429	VAB NV	QAKC634	TRAILER	T44	113,42		Ophanging	19/12/2019
ROAD ASSISTANCE	26020001182	12/02/2026	03/02/2026	26429	VAB NV	1GYP156	SLORRY	L20	529,21		Batterij 12V	13/06/2014
ROAD ASSISTANCE	26020001182	12/02/2026	03/02/2026	26429	VAB NV	1DYH977	BLORRY	L27	203,02		Laadklep (merk?) (olielek?)	18/05/2018
ROAD ASSISTANCE	26020001182	12/02/2026	03/02/2026	26429	VAB NV	1GYF194	SLORRY	L20	203,02		Batterij	03/06/2013
ROAD ASSISTANCE	26020001182	12/02/2026	03/02/2026	26429	VAB NV	QGC270	TRAILER	T44	43,11		Laadklep (merk?) (olielek?)	13/03/2007
